Country,Year,GDP_per_capita,Internet_users_percent,Life_expectancy,Military_expenditure_percent
Costa Rica,2019,12884.6859951989,81.2025964435269,80.296,1.56628172321816
Costa Rica,2020,12394.0493969492,80.53018608,79.725,1.56628172321816
Costa Rica,2021,12838.1185358931,82.74901607,78.05,1.56628172321816
Cote d'Ivoire,2019,2141.76836170115,36.2889545655205,60.274,0.887657865631757
Cote d'Ivoire,2020,2179.72934832935,36.01660156,60.14,0.963119470642636
Cote d'Ivoire,2021,2455.98127641148,35.95069885,60.29,0.876213826792915
Croatia,2019,15563.5987295029,79.0797836757554,78.2243902439024,1.6036107424916
Croatia,2020,14807.5608543265,78.32090004,77.5243902439024,1.69659501985338
Croatia,2021,17788.7865816658,81.25396608,76.4243902439025,1.97150113166485
Cuba,2019,9232.26115935183,67.9708086565152,77.413,1.56628172321816
Cuba,2020,9605.27914559614,71.11907507,77.407,1.56628172321816
Cuba,2021,9605.27914559614,67.64354869,73.201,1.56628172321816
Cyprus,2019,29227.173828125,86.0636299618935,81.454,1.76959353705638
Cyprus,2020,28130.341796875,90.80194644,81.23,1.89553437845021
Cyprus,2021,32937.83984375,90.75951564,80.573,1.78406744246115
Czech Republic,2019,24062.7190013343,80.8669444139622,79.2292682926829,1.13323967641325
Czech Republic,2020,23472.8915454417,81.33889705,78.2268292682927,1.295406324775
Czech Republic,2021,27696.4619527544,82.67062427,77.2219512195122,1.35325325729994
Denmark,2019,59404.2663247723,98.0464347521549,81.4512195121951,1.29920660644454
Denmark,2020,60985.4885601514,96.54914573,81.6024390243903,1.37376885314973
Denmark,2021,69340.7334922138,98.8658506,81.4048780487805,1.29155763565745
Djibouti,2019,2837.16902340932,58.4762001,64.381,1.56628172321816
Djibouti,2020,2844.88810647853,59.92570114,64.2,1.56628172321816
Djibouti,2021,3025.91126413549,61.41120148,63.83,1.56628172321816
Dominican Republic,2019,8183.01623600375,79.71549988,73.112,0.689583054746984
Dominican Republic,2020,7135.22273255899,81.61730194,72.636,0.746231922011371
Dominican Republic,2021,8527.0754858205,85.24298638,71.757,0.647239948925026
Ecuador,2019,6205.05765246766,59.2,77.286,2.18038189769994
Ecuador,2020,5463.64515348598,70.7,72.004,2.45792351121034
Ecuador,2021,6061.32350181711,69.1147995,72.746,2.24210709535338
Egypt,2019,2962.98892023003,57.2828663990195,71.213,1.18097179684711
Egypt,2020,3511.11381026379,71.91420096,69.79,1.12247550332399
Egypt,2021,3827.35415374308,72.05599976,68.976,1.12200927143154
El Salvador,2019,4320.11671534627,50.4911940673888,71.725,1.18000962074512
El Salvador,2020,3997.19279583709,54.60136976,70.244,1.37995002386364
El Salvador,2021,4642.60743101342,57.26380157,69.941,1.21053697201576
Equatorial Guinea,2019,6804.14923073888,49.13370132,62.297,1.30805287179895
Equatorial Guinea,2020,5764.05502912947,55.00130081,62.141,1.64082995887433
Equatorial Guinea,2021,6945.63069794539,58.71730042,62.447,1.34533764165546
Eritrea,2019,6673.97429035651,11.22379971,67.306,1.56628172321816
Eritrea,2020,6673.97429035651,14.34939957,66.98,1.56628172321816
Eritrea,2021,6673.97429035651,14.34939957,66.94,1.56628172321816
Estonia,2019,24021.2501413306,90.2289281997919,78.6463414634147,1.99845018670744
Estonia,2020,23933.9939421065,89.05828666,78.5951219512195,2.26136428332919
Estonia,2021,27951.1659277744,90.97970174,76.9439024390244,2.01231933389152
Eswatini,2019,3913.14577547336,43.93389893,59.85,1.89047734248605
Eswatini,2020,3466.56936278145,49.01300049,59.862,1.85505471294042
Eswatini,2021,3984.00229174306,53.99530029,58.228,1.67850436407438
Ethiopia,2019,793.473247210264,15.98460007,65.741,0.579949536835092
Ethiopia,2020,829.790982547947,16.06959915,65.969,0.780754838260967
Ethiopia,2021,893.00983544905,16.6981031,65.33,1.60917093329444
Fiji,2019,5842.07344577597,63.21789932,67.009,1.44512747814401
Fiji,2020,4620.6457238014,68.62560272,66.924,1.60530458182017
Fiji,2021,4536.73312110335,70.56800079,64.904,1.59594278733602
Finland,2019,48358.1807773701,89.6073851129779,81.9829268292683,1.36132283517387
Finland,2020,48828.6846862799,92.17027106,81.9317073170732,1.43578115547809
Finland,2021,53099.1351400148,92.80806082,81.8853658536585,1.30243925969996
France,2019,40408.2848574751,83.3397440866883,82.8268292682927,1.85288520696513
France,2020,39169.8606000707,84.70639801,82.1756097560976,2.02167455284232
France,2021,43725.0999521245,86.09548575,82.3243902439024,1.98022225807935
Gabon,2019,7441.1786472281,59.51760101,67.337,1.58168890147569
Gabon,2020,6605.80346077565,63.91790009,67.073,1.71695248466736
Gabon,2021,8181.40914134656,65.76809692,67.072,1.60218113320742
Gambia,2019,738.186751987483,31.11829948,64.427,0.797324578818787
Gambia,2020,720.335143352133,36.01100159,64.418,0.816569761733964
Gambia,2021,781.890925169531,41.67309952,63.847,0.775165384461361
Georgia,2019,4741.2832715876,68.8467135616978,74.165,1.75963279056275
Georgia,2020,4300.85701291207,72.53157487,73.509,1.78655575876457
Georgia,2021,5083.60695484577,76.4427093,71.635,1.59240624613036
Germany,2019,47656.199739747,88.1345169091916,81.2926829268293,1.24014846331417
Germany,2020,47394.8734504469,89.81294133,81.0414634146342,1.35598993512329
Germany,2021,52349.2459994422,91.43060973,80.790243902439,1.29982374349238
Ghana,2019,2186.65822682613,22.0732,64.455,0.343818178617089
Ghana,2020,2195.45481659987,62.51760101,64.309,0.350949233772808
Ghana,2021,2445.18662529344,68.6,64.286,0.382741906430833
Greece,2019,19335.3602002969,75.6712066931757,81.6390243902439,2.59648367110305
Greece,2020,17886.733165236,78.11584474,81.2878048780488,3.02310765728834
Greece,2021,20654.7001960815,78.49426371,80.0829268292683,3.80247367841764
Grenada,2019,10462.7929159533,64.31279755,74.971,1.56628172321816
Grenada,2020,8968.55890108484,65.65380096,75.019,1.56628172321816
Grenada,2021,9617.28902905373,67.02279663,74.522,1.56628172321816
Guatemala,2019,4511.99839552697,44.401049838502,71.639,0.430070763358893
Guatemala,2020,4477.61785000665,47.51229858,69.971,0.440993296513657
Guatemala,2021,4912.62240414681,50.84164945,67.858,0.390634304160435
Guinea,2019,1031.34146480732,23.89049911,59.379,1.47320213579399
Guinea,2020,1053.66097696415,26.14550018,59.35,1.46963829052972
Guinea,2021,1244.96550477914,28.61330032,59.373,1.54641182201592
Guinea Bissau,2019,811.216425885129,17.92149925,62.161,1.49375034588535
Guinea Bissau,2020,846.915855715971,20.45730019,61.343,1.51874963824343
Guinea Bissau,2021,926.780921081233,23.3519001,61.653,1.46036445301284
Guyana,2019,6405.82443444562,55.31269836,69.067,1.29961278504611
Guyana,2020,6775.70939096303,62.95399857,67.751,1.40257741131547
Guyana,2021,9860.87014834386,71.65090179,64.323,0.954930861063661
Haiti,2019,1352.17204191532,35.76409912,64.328,0.0859315095445588
Haiti,2020,1290.32538667383,39.38809967,63.773,0.103094179098955
Haiti,2021,1841.33189337222,43.37919998,62.613,0.153942307239608
Honduras,2019,2502.32744328073,39.3883521850111,72.124,1.57817708956802
Honduras,2020,2307.61494319511,45.24829865,70.864,1.4667972724004
Honduras,2021,2735.14751503977,51.95159912,69.492,1.49821773541885
Hungary,2019,17012.8598553199,80.3716936050482,76.3195121951219,1.32782522734016
Hungary,2020,16386.9308821258,84.77115202,75.419512195122,1.74628152413286
Hungary,2021,19030.628130329,88.64083466,74.0658536585366,1.31520993597457
Iceland,2019,69296.3144361601,99.5049411693787,83.1634146341463,1.56628172321816
Iceland,2020,60127.9393575616,99.5327519,83.0634146341463,1.56628172321816
Iceland,2021,70425.4064277273,99.68701957,83.1658536585366,1.56628172321816
India,2019,2041.42863698585,29.52350044,70.746,2.5459982314359
India,2020,1907.04251637669,43.40544313,70.156,2.80361581112679
India,2021,2239.61384367482,49.2580986,67.282,2.46874153034185
Indonesia,2019,4106.94856160358,47.6906489788375,70.349,0.728563743551525
Indonesia,2020,3853.70288774146,53.72649449,68.817,0.886277728854897
Indonesia,2021,4287.17313995098,62.10447842,67.452,0.741525844917975
Iran,2019,3997.4935449585,72.4509047672065,76.855,2.14694745014838
Iran,2020,3202.50003502169,75.56986637,74.141,2.17701027609522
Iran,2021,4605.14881318992,78.5957366,73.752,2.22394282528392
Iraq,2019,5671.8568632942,44.3263465511579,71.245,3.23719485045446
Iraq,2020,4295.18945121228,53.67779922,69.651,3.11217889939661
Iraq,2021,4868.49431080783,65.00219727,70.704,2.26111174702371
